id,eventType,minmax_ver,Positive,TruePos,FalsePos,hitRate,falseDiscoveryRate
32_2,multiElectd,"[3, 8, 1]",159,136,148,0.8553459119496856,0.5211267605633803
32_2,multiElectd,"[4, 9, 1]",159,114,71,0.7169811320754716,0.3837837837837838
32_2,singleElectd,"[4, 9, 1]",159,145,144,0.9119496855345912,0.4982698961937716
32_2,singleElectd,"[5, 8, 1]",159,102,72,0.6415094339622641,0.41379310344827586
32_2,singleElectd,"[4, 8, 1]",159,145,145,0.9119496855345912,0.5
32_2,multiElectd,"[4, 8, 1]",159,111,70,0.6981132075471698,0.3867403314917127
32_2,multiElectd,"[5, 8, 1]",159,65,34,0.4088050314465409,0.3434343434343434
32_2,singleElectd,"[5, 9, 1]",159,102,73,0.6415094339622641,0.41714285714285715
32_2,singleElectd,"[4, 10, 1]",159,145,146,0.9119496855345912,0.5017182130584192
32_2,multiElectd,"[3, 10, 1]",159,137,150,0.8616352201257862,0.5226480836236934
32_2,singleElectd,"[3, 9, 1]",159,151,253,0.949685534591195,0.6262376237623762
32_2,multiElectd,"[3, 9, 1]",159,137,149,0.8616352201257862,0.5209790209790209
32_2,multiElectd,"[5, 9, 1]",159,70,35,0.44025157232704404,0.3333333333333333
32_2,singleElectd,"[5, 10, 1]",159,102,75,0.6415094339622641,0.423728813559322
32_2,multiElectd,"[5, 10, 1]",159,71,35,0.44654088050314467,0.330188679245283
32_2,singleElectd,"[3, 8, 1]",159,151,254,0.949685534591195,0.6271604938271605
32_2,singleElectd,"[3, 10, 1]",159,151,253,0.949685534591195,0.6262376237623762
32_2,multiElectd,"[4, 10, 1]",159,115,71,0.7232704402515723,0.3817204301075269
38_2,multiElectd,"[5, 9, 1]",464,153,12,0.3297413793103448,0.07272727272727272
38_2,singleElectd,"[5, 9, 1]",464,252,34,0.5431034482758621,0.11888111888111888
38_2,singleElectd,"[5, 8, 1]",464,252,34,0.5431034482758621,0.11888111888111888
38_2,multiElectd,"[5, 8, 1]",464,153,12,0.3297413793103448,0.07272727272727272
38_2,singleElectd,"[4, 9, 1]",464,407,86,0.8771551724137931,0.1744421906693712
38_2,multiElectd,"[4, 10, 1]",464,297,37,0.6400862068965517,0.11077844311377245
38_2,multiElectd,"[4, 9, 1]",464,297,37,0.6400862068965517,0.11077844311377245
38_2,multiElectd,"[5, 10, 1]",464,154,13,0.33189655172413796,0.07784431137724551
38_2,multiElectd,"[4, 8, 1]",464,297,37,0.6400862068965517,0.11077844311377245
38_2,singleElectd,"[4, 8, 1]",464,407,86,0.8771551724137931,0.1744421906693712
38_2,singleElectd,"[3, 10, 1]",464,430,279,0.9267241379310345,0.3935119887165021
38_2,multiElectd,"[3, 10, 1]",464,389,137,0.8383620689655172,0.26045627376425856
38_2,multiElectd,"[3, 9, 1]",464,389,137,0.8383620689655172,0.26045627376425856
38_2,singleElectd,"[3, 9, 1]",464,430,279,0.9267241379310345,0.3935119887165021
38_2,multiElectd,"[3, 8, 1]",464,389,137,0.8383620689655172,0.26045627376425856
38_2,singleElectd,"[3, 8, 1]",464,430,279,0.9267241379310345,0.3935119887165021
38_2,singleElectd,"[4, 10, 1]",464,407,86,0.8771551724137931,0.1744421906693712
38_2,singleElectd,"[5, 10, 1]",464,252,34,0.5431034482758621,0.11888111888111888
